customer_id,promotion,cost,responded,revenue_lift,roi
C0001,20% off,3.0,0,0.0,-1.0
C0001,BOGO,4.5,0,0.0,-1.0
C0001,Free item,3.5,0,0.0,-1.0
C0001,Points bonus,2.0,1,12.0,5.0
C0001,Member exclusive,1.5,0,0.0,-1.0
C0002,20% off,3.0,0,0.0,-1.0
C0002,BOGO,4.5,0,0.0,-1.0
C0002,Free item,3.5,0,0.0,-1.0
C0002,Points bonus,2.0,1,0.0,-1.0
C0002,Member exclusive,1.5,0,0.0,-1.0
C0003,20% off,3.0,0,0.0,-1.0
C0003,BOGO,4.5,1,27.0,5.0
C0003,Free item,3.5,0,0.0,-1.0
C0003,Points bonus,2.0,1,12.0,5.0
C0003,Member exclusive,1.5,0,0.0,-1.0
C0004,20% off,3.0,1,18.0,5.0
C0004,BOGO,4.5,0,0.0,-1.0
C0004,Free item,3.5,0,0.0,-1.0
C0004,Points bonus,2.0,1,12.0,5.0
C0004,Member exclusive,1.5,0,0.0,-1.0
C0005,20% off,3.0,0,0.0,-1.0
C0005,BOGO,4.5,1,0.0,-1.0
C0005,Free item,3.5,0,0.0,-1.0
C0005,Points bonus,2.0,0,0.0,-1.0
C0005,Member exclusive,1.5,0,0.0,-1.0
C0006,20% off,3.0,0,0.0,-1.0
C0006,BOGO,4.5,1,27.0,5.0
C0006,Free item,3.5,0,0.0,-1.0
C0006,Points bonus,2.0,0,0.0,-1.0
C0006,Member exclusive,1.5,0,0.0,-1.0
C0007,20% off,3.0,0,0.0,-1.0
C0007,BOGO,4.5,0,0.0,-1.0
C0007,Free item,3.5,0,0.0,-1.0
C0007,Points bonus,2.0,0,0.0,-1.0
C0007,Member exclusive,1.5,1,9.0,5.0
C0008,20% off,3.0,0,0.0,-1.0
C0008,BOGO,4.5,1,0.0,-1.0
C0008,Free item,3.5,1,0.0,-1.0
C0008,Points bonus,2.0,0,0.0,-1.0
C0008,Member exclusive,1.5,0,0.0,-1.0
C0009,20% off,3.0,0,0.0,-1.0
C0009,BOGO,4.5,0,0.0,-1.0
C0009,Free item,3.5,0,0.0,-1.0
C0009,Points bonus,2.0,0,0.0,-1.0
C0009,Member exclusive,1.5,0,0.0,-1.0
C0010,20% off,3.0,1,18.0,5.0
C0010,BOGO,4.5,1,27.0,5.0
C0010,Free item,3.5,1,21.0,5.0
C0010,Points bonus,2.0,0,0.0,-1.0
C0010,Member exclusive,1.5,1,9.0,5.0
C0011,20% off,3.0,1,18.0,5.0
C0011,BOGO,4.5,0,0.0,-1.0
C0011,Free item,3.5,0,0.0,-1.0
C0011,Points bonus,2.0,0,0.0,-1.0
C0011,Member exclusive,1.5,0,0.0,-1.0
C0012,20% off,3.0,0,0.0,-1.0
C0012,BOGO,4.5,0,0.0,-1.0
C0012,Free item,3.5,0,0.0,-1.0
C0012,Points bonus,2.0,0,0.0,-1.0
C0012,Member exclusive,1.5,0,0.0,-1.0
C0013,20% off,3.0,0,0.0,-1.0
C0013,BOGO,4.5,0,0.0,-1.0
C0013,Free item,3.5,0,0.0,-1.0
C0013,Points bonus,2.0,0,0.0,-1.0
C0013,Member exclusive,1.5,1,9.0,5.0
C0014,20% off,3.0,0,0.0,-1.0
C0014,BOGO,4.5,1,23.15,4.14
C0014,Free item,3.5,1,19.01,4.43
C0014,Points bonus,2.0,1,12.0,5.0
C0014,Member exclusive,1.5,0,0.0,-1.0
C0015,20% off,3.0,0,0.0,-1.0
C0015,BOGO,4.5,0,0.0,-1.0
C0015,Free item,3.5,1,21.0,5.0
C0015,Points bonus,2.0,0,0.0,-1.0
C0015,Member exclusive,1.5,0,0.0,-1.0
C0016,20% off,3.0,0,0.0,-1.0
C0016,BOGO,4.5,0,0.0,-1.0
C0016,Free item,3.5,1,21.0,5.0
C0016,Points bonus,2.0,1,12.0,5.0
C0016,Member exclusive,1.5,0,0.0,-1.0
C0017,20% off,3.0,1,18.0,5.0
C0017,BOGO,4.5,0,0.0,-1.0
C0017,Free item,3.5,0,0.0,-1.0
C0017,Points bonus,2.0,1,12.0,5.0
C0017,Member exclusive,1.5,1,9.0,5.0
C0018,20% off,3.0,0,0.0,-1.0
C0018,BOGO,4.5,0,0.0,-1.0
C0018,Free item,3.5,0,0.0,-1.0
C0018,Points bonus,2.0,0,0.0,-1.0
C0018,Member exclusive,1.5,0,0.0,-1.0
C0019,20% off,3.0,0,0.0,-1.0
C0019,BOGO,4.5,0,0.0,-1.0
C0019,Free item,3.5,0,0.0,-1.0
C0019,Points bonus,2.0,0,0.0,-1.0
C0019,Member exclusive,1.5,0,0.0,-1.0
C0020,20% off,3.0,0,0.0,-1.0
C0020,BOGO,4.5,1,27.0,5.0
C0020,Free item,3.5,0,0.0,-1.0
C0020,Points bonus,2.0,0,0.0,-1.0
C0020,Member exclusive,1.5,0,0.0,-1.0
C0021,20% off,3.0,0,0.0,-1.0
C0021,BOGO,4.5,0,0.0,-1.0
C0021,Free item,3.5,0,0.0,-1.0
C0021,Points bonus,2.0,1,0.0,-1.0
C0021,Member exclusive,1.5,0,0.0,-1.0
C0022,20% off,3.0,0,0.0,-1.0
C0022,BOGO,4.5,1,27.0,5.0
C0022,Free item,3.5,0,0.0,-1.0
C0022,Points bonus,2.0,1,12.0,5.0
C0022,Member exclusive,1.5,1,9.0,5.0
C0023,20% off,3.0,0,0.0,-1.0
C0023,BOGO,4.5,1,27.0,5.0
C0023,Free item,3.5,0,0.0,-1.0
C0023,Points bonus,2.0,1,12.0,5.0
C0023,Member exclusive,1.5,1,9.0,5.0
C0024,20% off,3.0,0,0.0,-1.0
C0024,BOGO,4.5,0,0.0,-1.0
C0024,Free item,3.5,0,0.0,-1.0
C0024,Points bonus,2.0,0,0.0,-1.0
C0024,Member exclusive,1.5,0,0.0,-1.0
C0025,20% off,3.0,0,0.0,-1.0
C0025,BOGO,4.5,0,0.0,-1.0
C0025,Free item,3.5,1,21.0,5.0
C0025,Points bonus,2.0,0,0.0,-1.0
C0025,Member exclusive,1.5,1,9.0,5.0
C0026,20% off,3.0,0,0.0,-1.0
C0026,BOGO,4.5,1,27.0,5.0
C0026,Free item,3.5,0,0.0,-1.0
C0026,Points bonus,2.0,0,0.0,-1.0
C0026,Member exclusive,1.5,0,0.0,-1.0
C0027,20% off,3.0,1,18.0,5.0
C0027,BOGO,4.5,0,0.0,-1.0
C0027,Free item,3.5,0,0.0,-1.0
C0027,Points bonus,2.0,1,12.0,5.0
C0027,Member exclusive,1.5,0,0.0,-1.0
C0028,20% off,3.0,0,0.0,-1.0
C0028,BOGO,4.5,0,0.0,-1.0
C0028,Free item,3.5,0,0.0,-1.0
C0028,Points bonus,2.0,0,0.0,-1.0
C0028,Member exclusive,1.5,1,9.0,5.0
C0029,20% off,3.0,1,18.0,5.0
C0029,BOGO,4.5,0,0.0,-1.0
C0029,Free item,3.5,0,0.0,-1.0
C0029,Points bonus,2.0,1,12.0,5.0
C0029,Member exclusive,1.5,0,0.0,-1.0
C0030,20% off,3.0,0,0.0,-1.0
C0030,BOGO,4.5,1,27.0,5.0
C0030,Free item,3.5,1,21.0,5.0
C0030,Points bonus,2.0,0,0.0,-1.0
C0030,Member exclusive,1.5,0,0.0,-1.0
C0031,20% off,3.0,1,18.0,5.0
C0031,BOGO,4.5,0,0.0,-1.0
C0031,Free item,3.5,0,0.0,-1.0
C0031,Points bonus,2.0,0,0.0,-1.0
C0031,Member exclusive,1.5,0,0.0,-1.0
C0032,20% off,3.0,0,0.0,-1.0
C0032,BOGO,4.5,1,27.0,5.0
C0032,Free item,3.5,0,0.0,-1.0
C0032,Points bonus,2.0,0,0.0,-1.0
C0032,Member exclusive,1.5,1,9.0,5.0
C0033,20% off,3.0,1,18.0,5.0
C0033,BOGO,4.5,1,27.0,5.0
C0033,Free item,3.5,1,21.0,5.0
C0033,Points bonus,2.0,0,0.0,-1.0
C0033,Member exclusive,1.5,0,0.0,-1.0
C0034,20% off,3.0,0,0.0,-1.0
C0034,BOGO,4.5,0,0.0,-1.0
C0034,Free item,3.5,0,0.0,-1.0
C0034,Points bonus,2.0,1,0.0,-1.0
C0034,Member exclusive,1.5,1,0.0,-1.0
C0035,20% off,3.0,1,18.0,5.0
C0035,BOGO,4.5,0,0.0,-1.0
C0035,Free item,3.5,1,21.0,5.0
C0035,Points bonus,2.0,1,12.0,5.0
C0035,Member exclusive,1.5,1,9.0,5.0
C0036,20% off,3.0,0,0.0,-1.0
C0036,BOGO,4.5,0,0.0,-1.0
C0036,Free item,3.5,0,0.0,-1.0
C0036,Points bonus,2.0,0,0.0,-1.0
C0036,Member exclusive,1.5,0,0.0,-1.0
C0037,20% off,3.0,1,18.0,5.0
C0037,BOGO,4.5,0,0.0,-1.0
C0037,Free item,3.5,0,0.0,-1.0
C0037,Points bonus,2.0,0,0.0,-1.0
C0037,Member exclusive,1.5,0,0.0,-1.0
C0038,20% off,3.0,0,0.0,-1.0
C0038,BOGO,4.5,0,0.0,-1.0
C0038,Free item,3.5,0,0.0,-1.0
C0038,Points bonus,2.0,0,0.0,-1.0
C0038,Member exclusive,1.5,0,0.0,-1.0
C0039,20% off,3.0,1,18.0,5.0
C0039,BOGO,4.5,1,27.0,5.0
C0039,Free item,3.5,0,0.0,-1.0
C0039,Points bonus,2.0,1,12.0,5.0
C0039,Member exclusive,1.5,0,0.0,-1.0
C0040,20% off,3.0,0,0.0,-1.0
C0040,BOGO,4.5,0,0.0,-1.0
C0040,Free item,3.5,0,0.0,-1.0
C0040,Points bonus,2.0,1,12.0,5.0
C0040,Member exclusive,1.5,0,0.0,-1.0
C0041,20% off,3.0,0,0.0,-1.0
C0041,BOGO,4.5,1,11.82,1.63
C0041,Free item,3.5,0,0.0,-1.0
C0041,Points bonus,2.0,0,0.0,-1.0
C0041,Member exclusive,1.5,0,0.0,-1.0
C0042,20% off,3.0,0,0.0,-1.0
C0042,BOGO,4.5,0,0.0,-1.0
C0042,Free item,3.5,0,0.0,-1.0
C0042,Points bonus,2.0,0,0.0,-1.0
C0042,Member exclusive,1.5,0,0.0,-1.0
C0043,20% off,3.0,1,18.0,5.0
C0043,BOGO,4.5,1,27.0,5.0
C0043,Free item,3.5,0,0.0,-1.0
C0043,Points bonus,2.0,0,0.0,-1.0
C0043,Member exclusive,1.5,0,0.0,-1.0
C0044,20% off,3.0,0,0.0,-1.0
C0044,BOGO,4.5,1,27.0,5.0
C0044,Free item,3.5,0,0.0,-1.0
C0044,Points bonus,2.0,0,0.0,-1.0
C0044,Member exclusive,1.5,1,9.0,5.0
C0045,20% off,3.0,0,0.0,-1.0
C0045,BOGO,4.5,0,0.0,-1.0
C0045,Free item,3.5,0,0.0,-1.0
C0045,Points bonus,2.0,0,0.0,-1.0
C0045,Member exclusive,1.5,0,0.0,-1.0
C0046,20% off,3.0,0,0.0,-1.0
C0046,BOGO,4.5,1,0.0,-1.0
C0046,Free item,3.5,0,0.0,-1.0
C0046,Points bonus,2.0,1,0.0,-1.0
C0046,Member exclusive,1.5,0,0.0,-1.0
C0047,20% off,3.0,1,18.0,5.0
C0047,BOGO,4.5,1,27.0,5.0
C0047,Free item,3.5,1,21.0,5.0
C0047,Points bonus,2.0,1,10.82,4.41
C0047,Member exclusive,1.5,1,9.0,5.0
C0048,20% off,3.0,0,0.0,-1.0
C0048,BOGO,4.5,0,0.0,-1.0
C0048,Free item,3.5,0,0.0,-1.0
C0048,Points bonus,2.0,0,0.0,-1.0
C0048,Member exclusive,1.5,0,0.0,-1.0
C0049,20% off,3.0,0,0.0,-1.0
C0049,BOGO,4.5,0,0.0,-1.0
C0049,Free item,3.5,1,21.0,5.0
C0049,Points bonus,2.0,0,0.0,-1.0
C0049,Member exclusive,1.5,1,9.0,5.0
C0050,20% off,3.0,0,0.0,-1.0
C0050,BOGO,4.5,0,0.0,-1.0
C0050,Free item,3.5,0,0.0,-1.0
C0050,Points bonus,2.0,0,0.0,-1.0
C0050,Member exclusive,1.5,0,0.0,-1.0
C0051,20% off,3.0,0,0.0,-1.0
C0051,BOGO,4.5,0,0.0,-1.0
C0051,Free item,3.5,0,0.0,-1.0
C0051,Points bonus,2.0,1,12.0,5.0
C0051,Member exclusive,1.5,0,0.0,-1.0
C0052,20% off,3.0,1,18.0,5.0
C0052,BOGO,4.5,0,0.0,-1.0
C0052,Free item,3.5,0,0.0,-1.0
C0052,Points bonus,2.0,0,0.0,-1.0
C0052,Member exclusive,1.5,0,0.0,-1.0
C0053,20% off,3.0,1,18.0,5.0
C0053,BOGO,4.5,0,0.0,-1.0
C0053,Free item,3.5,0,0.0,-1.0
C0053,Points bonus,2.0,0,0.0,-1.0
C0053,Member exclusive,1.5,1,9.0,5.0
C0054,20% off,3.0,1,18.0,5.0
C0054,BOGO,4.5,1,27.0,5.0
C0054,Free item,3.5,0,0.0,-1.0
C0054,Points bonus,2.0,1,12.0,5.0
C0054,Member exclusive,1.5,1,9.0,5.0
C0055,20% off,3.0,0,0.0,-1.0
C0055,BOGO,4.5,0,0.0,-1.0
