customer_id,promotion,cost,responded,revenue_lift,roi,age,recency,frequency,monetary,avg_monthly_visits,avg_ticket,total_spent,avg_amount,avg_quantity,promotion_cost
C0001,20% off,3.0,0,0.0,-1.0,56,6.0,27.0,139.25,2,12.227299868828403,139.25,5.157407407407407,1.037037037037037,3.0
C0001,BOGO,4.5,0,0.0,-1.0,56,6.0,27.0,139.25,2,12.227299868828403,139.25,5.157407407407407,1.037037037037037,4.5
C0001,Free item,3.5,0,0.0,-1.0,56,6.0,27.0,139.25,2,12.227299868828403,139.25,5.157407407407407,1.037037037037037,3.5
C0001,Points bonus,2.0,1,12.0,5.0,56,6.0,27.0,139.25,2,12.227299868828403,139.25,5.157407407407407,1.037037037037037,2.0
C0001,Member exclusive,1.5,0,0.0,-1.0,56,6.0,27.0,139.25,2,12.227299868828403,139.25,5.157407407407407,1.037037037037037,1.5
C0002,20% off,3.0,0,0.0,-1.0,38,0.0,0.0,0.0,0,8.340703845572055,0.0,0.0,0.0,3.0
C0002,BOGO,4.5,0,0.0,-1.0,38,0.0,0.0,0.0,0,8.340703845572055,0.0,0.0,0.0,4.5
C0002,Free item,3.5,0,0.0,-1.0,38,0.0,0.0,0.0,0,8.340703845572055,0.0,0.0,0.0,3.5
C0002,Points bonus,2.0,1,0.0,-1.0,38,0.0,0.0,0.0,0,8.340703845572055,0.0,0.0,0.0,2.0
C0002,Member exclusive,1.5,0,0.0,-1.0,38,0.0,0.0,0.0,0,8.340703845572055,0.0,0.0,0.0,1.5
C0003,20% off,3.0,0,0.0,-1.0,61,2.0,218.0,1326.75,16,9.239986631130485,1326.75,6.0860091743119265,1.1055045871559632,3.0
C0003,BOGO,4.5,1,27.0,5.0,61,2.0,218.0,1326.75,16,9.239986631130485,1326.75,6.0860091743119265,1.1055045871559632,4.5
C0003,Free item,3.5,0,0.0,-1.0,61,2.0,218.0,1326.75,16,9.239986631130485,1326.75,6.0860091743119265,1.1055045871559632,3.5
C0003,Points bonus,2.0,1,12.0,5.0,61,2.0,218.0,1326.75,16,9.239986631130485,1326.75,6.0860091743119265,1.1055045871559632,2.0
C0003,Member exclusive,1.5,0,0.0,-1.0,61,2.0,218.0,1326.75,16,9.239986631130485,1326.75,6.0860091743119265,1.1055045871559632,1.5
C0004,20% off,3.0,1,18.0,5.0,25,4.0,74.0,378.5,5,5.399016533479062,378.5,5.114864864864865,1.0810810810810811,3.0
C0004,BOGO,4.5,0,0.0,-1.0,25,4.0,74.0,378.5,5,5.399016533479062,378.5,5.114864864864865,1.0810810810810811,4.5
C0004,Free item,3.5,0,0.0,-1.0,25,4.0,74.0,378.5,5,5.399016533479062,378.5,5.114864864864865,1.0810810810810811,3.5
C0004,Points bonus,2.0,1,12.0,5.0,25,4.0,74.0,378.5,5,5.399016533479062,378.5,5.114864864864865,1.0810810810810811,2.0
C0004,Member exclusive,1.5,0,0.0,-1.0,25,4.0,74.0,378.5,5,5.399016533479062,378.5,5.114864864864865,1.0810810810810811,1.5
C0005,20% off,3.0,0,0.0,-1.0,27,0.0,0.0,0.0,0,25.17078433263299,0.0,0.0,0.0,3.0
C0005,BOGO,4.5,1,0.0,-1.0,27,0.0,0.0,0.0,0,25.17078433263299,0.0,0.0,0.0,4.5
C0005,Free item,3.5,0,0.0,-1.0,27,0.0,0.0,0.0,0,25.17078433263299,0.0,0.0,0.0,3.5
C0005,Points bonus,2.0,0,0.0,-1.0,27,0.0,0.0,0.0,0,25.17078433263299,0.0,0.0,0.0,2.0
C0005,Member exclusive,1.5,0,0.0,-1.0,27,0.0,0.0,0.0,0,25.17078433263299,0.0,0.0,0.0,1.5
C0006,20% off,3.0,0,0.0,-1.0,58,2.0,183.0,1099.0,11,10.63386291417709,1099.0,6.005464480874317,1.1420765027322404,3.0
C0006,BOGO,4.5,1,27.0,5.0,58,2.0,183.0,1099.0,11,10.63386291417709,1099.0,6.005464480874317,1.1420765027322404,4.5
C0006,Free item,3.5,0,0.0,-1.0,58,2.0,183.0,1099.0,11,10.63386291417709,1099.0,6.005464480874317,1.1420765027322404,3.5
C0006,Points bonus,2.0,0,0.0,-1.0,58,2.0,183.0,1099.0,11,10.63386291417709,1099.0,6.005464480874317,1.1420765027322404,2.0
C0006,Member exclusive,1.5,0,0.0,-1.0,58,2.0,183.0,1099.0,11,10.63386291417709,1099.0,6.005464480874317,1.1420765027322404,1.5
C0007,20% off,3.0,0,0.0,-1.0,58,12.0,7.0,36.25,1,15.85297914889198,36.25,5.178571428571429,1.0,3.0
C0007,BOGO,4.5,0,0.0,-1.0,58,12.0,7.0,36.25,1,15.85297914889198,36.25,5.178571428571429,1.0,4.5
C0007,Free item,3.5,0,0.0,-1.0,58,12.0,7.0,36.25,1,15.85297914889198,36.25,5.178571428571429,1.0,3.5
C0007,Points bonus,2.0,0,0.0,-1.0,58,12.0,7.0,36.25,1,15.85297914889198,36.25,5.178571428571429,1.0,2.0
C0007,Member exclusive,1.5,1,9.0,5.0,58,12.0,7.0,36.25,1,15.85297914889198,36.25,5.178571428571429,1.0,1.5
C0008,20% off,3.0,0,0.0,-1.0,18,0.0,0.0,0.0,0,8.830265895704372,0.0,0.0,0.0,3.0
C0008,BOGO,4.5,1,0.0,-1.0,18,0.0,0.0,0.0,0,8.830265895704372,0.0,0.0,0.0,4.5
C0008,Free item,3.5,1,0.0,-1.0,18,0.0,0.0,0.0,0,8.830265895704372,0.0,0.0,0.0,3.5
C0008,Points bonus,2.0,0,0.0,-1.0,18,0.0,0.0,0.0,0,8.830265895704372,0.0,0.0,0.0,2.0
C0008,Member exclusive,1.5,0,0.0,-1.0,18,0.0,0.0,0.0,0,8.830265895704372,0.0,0.0,0.0,1.5
C0009,20% off,3.0,0,0.0,-1.0,40,26.0,41.0,203.75,3,6.866039791481465,203.75,4.969512195121951,1.048780487804878,3.0
C0009,BOGO,4.5,0,0.0,-1.0,40,26.0,41.0,203.75,3,6.866039791481465,203.75,4.969512195121951,1.048780487804878,4.5
C0009,Free item,3.5,0,0.0,-1.0,40,26.0,41.0,203.75,3,6.866039791481465,203.75,4.969512195121951,1.048780487804878,3.5
C0009,Points bonus,2.0,0,0.0,-1.0,40,26.0,41.0,203.75,3,6.866039791481465,203.75,4.969512195121951,1.048780487804878,2.0
C0009,Member exclusive,1.5,0,0.0,-1.0,40,26.0,41.0,203.75,3,6.866039791481465,203.75,4.969512195121951,1.048780487804878,1.5
C0010,20% off,3.0,1,18.0,5.0,28,1.0,289.0,1587.75,19,21.042989210310264,1587.75,5.493944636678201,1.086505190311419,3.0
C0010,BOGO,4.5,1,27.0,5.0,28,1.0,289.0,1587.75,19,21.042989210310264,1587.75,5.493944636678201,1.086505190311419,4.5
C0010,Free item,3.5,1,21.0,5.0,28,1.0,289.0,1587.75,19,21.042989210310264,1587.75,5.493944636678201,1.086505190311419,3.5
C0010,Points bonus,2.0,0,0.0,-1.0,28,1.0,289.0,1587.75,19,21.042989210310264,1587.75,5.493944636678201,1.086505190311419,2.0
C0010,Member exclusive,1.5,1,9.0,5.0,28,1.0,289.0,1587.75,19,21.042989210310264,1587.75,5.493944636678201,1.086505190311419,1.5
C0011,20% off,3.0,1,18.0,5.0,26,1.0,115.0,656.75,6,9.649082359697768,656.75,5.710869565217391,1.0782608695652174,3.0
C0011,BOGO,4.5,0,0.0,-1.0,26,1.0,115.0,656.75,6,9.649082359697768,656.75,5.710869565217391,1.0782608695652174,4.5
C0011,Free item,3.5,0,0.0,-1.0,26,1.0,115.0,656.75,6,9.649082359697768,656.75,5.710869565217391,1.0782608695652174,3.5
C0011,Points bonus,2.0,0,0.0,-1.0,26,1.0,115.0,656.75,6,9.649082359697768,656.75,5.710869565217391,1.0782608695652174,2.0
C0011,Member exclusive,1.5,0,0.0,-1.0,26,1.0,115.0,656.75,6,9.649082359697768,656.75,5.710869565217391,1.0782608695652174,1.5
C0012,20% off,3.0,0,0.0,-1.0,54,1.0,123.0,690.25,7,20.79113265829237,690.25,5.611788617886178,1.1056910569105691,3.0
C0012,BOGO,4.5,0,0.0,-1.0,54,1.0,123.0,690.25,7,20.79113265829237,690.25,5.611788617886178,1.1056910569105691,4.5
C0012,Free item,3.5,0,0.0,-1.0,54,1.0,123.0,690.25,7,20.79113265829237,690.25,5.611788617886178,1.1056910569105691,3.5
